state,sat_participation_17,sat_total_average_17,act_participation_17,act_total_average_17,sat_participation_18,sat_total_average_18,act_participation_18,act_total_average_18,sat_participation_19,sat_total_average_19,act_participation_19,act_total_average_19,sat_participation_20,sat_total_average_20,act_participation_20,act_total_average_20
Alabama,0.05,1165,1.0,19.2,0.06,1166,1.0,19.1,0.07,1143,1.0,18.9,0.07,1127.0,1.0,18.8
Alaska,0.38,1080,0.65,19.8,0.43,1106,0.33,20.8,0.41,1097,0.38,20.1,0.37,1098.0,0.33,20.1
Arizona,0.3,1116,0.62,19.7,0.29,1149,0.66,19.2,0.31,1134,0.73,19.0,0.29,1139.0,0.71,19.1
Arkansas,0.03,1208,1.0,19.4,0.05,1169,1.0,19.4,0.06,1141,1.0,19.3,0.04,1157.0,1.0,19.0
California,0.53,1055,0.31,22.8,0.6,1076,0.27,22.7,0.63,1065,0.23,22.6,0.67,1049.0,0.19,23.3
Colorado,0.11,1201,1.0,20.8,1.0,1025,0.3,23.9,1.0,1024,0.27,23.8,1.0,1012.0,0.25,23.7
Connecticut,1.0,1041,0.31,25.2,1.0,1053,0.26,25.6,1.0,1046,0.22,25.5,1.0,1039.0,0.19,25.9
Delaware,1.0,996,0.18,24.1,1.0,998,0.17,23.8,1.0,985,0.13,24.1,1.0,978.0,0.11,24.2
District of Columbia,1.0,950,0.32,24.2,0.92,977,0.32,23.6,0.94,975,0.32,23.5,1.0,979.0,0.33,23.1
Florida,0.83,1017,0.73,19.8,0.56,1099,0.66,19.9,1.0,999,0.54,20.1,1.0,992.0,0.46,20.6
Georgia,0.61,1050,0.55,21.4,0.7,1064,0.53,21.4,0.71,1058,0.49,21.4,0.68,1053.0,0.43,21.7
Hawaii,0.55,1085,0.9,19.0,0.56,1010,0.89,18.9,0.54,1100,0.8,19.0,0.51,1095.0,0.82,18.5
Idaho,0.93,1005,0.38,22.3,1.0,1001,0.36,22.3,1.0,993,0.31,22.5,1.0,984.0,0.28,22.7
Illinois,0.09,1115,0.93,21.4,0.99,1019,0.43,23.9,1.0,1013,0.35,24.3,0.98,1007.0,0.31,24.7
Indiana,0.63,1074,0.35,22.6,0.63,1074,0.32,22.5,0.66,1080,0.29,22.5,0.64,1074.0,0.25,22.6
Iowa,0.02,1275,0.67,21.9,0.03,1265,0.68,21.8,0.03,1244,0.66,21.6,0.03,1220.0,0.68,21.1
Kansas,0.04,1260,0.73,21.7,0.04,1265,0.71,21.6,0.04,1241,0.72,21.2,0.04,1237.0,0.82,20.4
Kentucky,0.04,1247,1.0,20.0,0.04,1248,1.0,20.2,0.04,1232,1.0,19.8,0.04,1207.0,1.0,19.5
Louisiana,0.04,1198,1.0,19.5,0.04,1210,1.0,19.2,0.05,1200,1.0,18.8,0.05,1170.0,1.0,18.7
Maine,0.95,1012,0.08,24.3,0.99,1013,0.07,24.0,0.99,1013,0.06,24.3,0.98,995.0,0.05,24.9
Maryland,0.69,1060,0.28,23.6,0.76,1080,0.31,22.5,0.82,1058,0.28,22.3,0.88,1029.0,0.19,23.8
Massachusetts,0.76,1107,0.29,25.4,0.8,1125,0.25,25.5,0.81,1120,0.21,25.5,0.8,1119.0,0.18,26.0
Michigan,1.0,1005,0.29,24.1,1.0,1011,0.22,24.2,1.0,1003,0.19,24.4,1.0,998.0,0.17,24.6
Minnesota,0.03,1295,1.0,21.5,0.04,1298,0.99,21.3,0.04,1284,0.95,21.4,0.04,1257.0,0.92,21.3
Mississippi,0.02,1242,1.0,18.6,0.03,1236,1.0,18.6,0.03,1237,1.0,18.4,0.03,1203.0,1.0,18.2
Missouri,0.03,1271,1.0,20.4,0.04,1262,1.0,20.0,0.04,1236,0.82,20.8,0.04,1212.0,0.78,20.7
Montana,0.1,1196,1.0,20.3,0.1,1198,1.0,20.0,0.09,1199,1.0,19.8,0.1,1185.0,1.0,19.9
Nebraska,0.03,1253,0.84,21.4,0.03,1252,1.0,20.1,0.03,1260,1.0,20.0,0.03,1229.0,1.0,19.9
Nevada,0.26,1116,1.0,17.8,0.23,1140,1.0,17.7,0.2,1156,1.0,17.9,0.17,1150.0,1.0,17.9
New Hampshire,0.96,1052,0.18,25.5,0.96,1063,0.16,25.1,0.95,1059,0.14,25.0,0.93,1055.0,0.12,25.7
New Jersey,0.7,1056,0.34,23.9,0.82,1094,0.31,23.7,0.82,1090,0.25,24.2,0.82,1081.0,0.23,24.4
New Mexico,0.11,1138,0.66,19.7,0.16,1093,0.67,19.4,0.18,1073,0.63,19.3,0.19,1055.0,0.56,19.3
New York,0.67,1052,0.31,24.2,0.79,1068,0.27,24.5,0.79,1064,0.22,24.5,0.79,1058.0,0.2,24.9
North Carolina,0.49,1081,1.0,19.1,0.52,1098,1.0,19.1,0.51,1100,1.0,19.0,0.48,1096.0,1.0,18.8
North Dakota,0.02,1256,0.98,20.3,0.02,1283,0.98,20.3,0.02,1263,0.96,19.9,0.02,1231.0,0.94,19.6
Ohio,0.12,1149,0.75,22.0,0.18,1099,1.0,20.3,0.19,1097,1.0,20.0,0.21,1070.0,1.0,19.9
Oklahoma,0.07,1047,1.0,19.4,0.08,1062,1.0,19.3,0.22,963,1.0,18.9,0.2,971.0,1.0,18.7
Oregon,0.43,1108,0.4,21.8,0.48,1117,0.42,21.3,0.51,1112,0.42,21.1,0.51,1104.0,0.42,21.0
Pennsylvania,0.65,1071,0.23,23.7,0.7,1086,0.2,23.5,0.7,1082,0.17,23.6,0.67,1078.0,0.15,23.7
Rhode Island,0.71,1062,0.21,24.0,0.97,1018,0.15,24.2,1.0,995,0.12,24.7,1.0,990.0,0.11,24.8
South Carolina,0.5,1064,1.0,18.7,0.55,1070,1.0,18.3,0.68,1030,0.78,18.8,0.68,1026.0,0.76,18.4
South Dakota,0.03,1216,0.8,21.8,0.03,1240,0.77,21.9,0.03,1268,0.75,21.6,0.03,1218.0,0.7,21.7
